WDA,Industry Title,Measure,Workforce Development Area,Title1,January 2020,January 2021,Volume Chg
Berks,All Other General Merchandise Stores,Growing Industries,Berks,All Other General Merchandise Stores,23,22,-1
Berks,Automotive Parts and Accessories Stores,Growing Industries,Berks,Automotive Parts and Accessories Stores,29,36,7
Berks,Bottled Water Manufacturing,Growing Industries,Berks,Bottled Water Manufacturing,11,10,-1
Berks,Child Day Care Services,Growing Industries,Berks,Child Day Care Services,21,16,-5
Berks,"Colleges, Universities, and Professional Schools",Growing Industries,Berks,"Colleges, Universities, and Professional Schools",126,155,29
Berks,Commercial Banking,Growing Industries,Berks,Commercial Banking,50,41,-9
Berks,Couriers and Express Delivery Services,Growing Industries,Berks,Couriers and Express Delivery Services,13,18,5
Berks,Department Stores (except Discount Department Stores),Growing Industries,Berks,Department Stores (except Discount Department Stores),18,29,11
Berks,Direct Life Insurance Carriers,Growing Industries,Berks,Direct Life Insurance Carriers,4,11,7
Berks,Engineering Services,Growing Industries,Berks,Engineering Services,41,20,-21
Berks,Food Service Contractors,Growing Industries,Berks,Food Service Contractors,51,34,-17
Berks,Full-Service Restaurants,Growing Industries,Berks,Full-Service Restaurants,2,22,20
Berks,Furniture Stores,Growing Industries,Berks,Furniture Stores,24,65,41
Berks,"General Freight Trucking, Long-Distance, Truckload",Growing Industries,Berks,"General Freight Trucking, Long-Distance, Truckload",18,29,11
Berks,General Line Grocery Merchant Wholesalers,Growing Industries,Berks,General Line Grocery Merchant Wholesalers,12,18,6
Berks,General Medical and Surgical Hospitals,Growing Industries,Berks,General Medical and Surgical Hospitals,261,314,53
Berks,General Warehousing and Storage,Growing Industries,Berks,General Warehousing and Storage,14,11,-3
Berks,Hazardous Waste Treatment and Disposal,Growing Industries,Berks,Hazardous Waste Treatment and Disposal,11,11,0
Berks,Home Centers,Growing Industries,Berks,Home Centers,76,62,-14
Berks,Home Health Care Services,Growing Industries,Berks,Home Health Care Services,34,44,10
Berks,Hotels (except Casino Hotels) and Motels,Growing Industries,Berks,Hotels (except Casino Hotels) and Motels,2,14,12
Berks,Limited-Service Restaurants,Growing Industries,Berks,Limited-Service Restaurants,32,72,40
Berks,Nursing Care Facilities (Skilled Nursing Facilities),Growing Industries,Berks,Nursing Care Facilities (Skilled Nursing Facilities),26,27,1
Berks,Other Commercial and Service Industry Machinery Manufacturing,Growing Industries,Berks,Other Commercial and Service Industry Machinery Manufacturing,9,16,7
Berks,Other Individual and Family Services,Growing Industries,Berks,Other Individual and Family Services,17,10,-7
Berks,Pet and Pet Supplies Stores,Growing Industries,Berks,Pet and Pet Supplies Stores,2,22,20
Berks,Pharmacies and Drug Stores,Growing Industries,Berks,Pharmacies and Drug Stores,45,43,-2
Berks,"Process, Physical Distribution, and Logistics Consulting Services",Growing Industries,Berks,"Process, Physical Distribution, and Logistics Consulting Services",14,16,2
Berks,Security Guards and Patrol Services,Growing Industries,Berks,Security Guards and Patrol Services,8,13,5
Berks,Soft Drink Manufacturing,Growing Industries,Berks,Soft Drink Manufacturing,6,11,5
Berks,Sporting Goods Stores,Growing Industries,Berks,Sporting Goods Stores,32,27,-5
Berks,Storage Battery Manufacturing,Growing Industries,Berks,Storage Battery Manufacturing,21,26,5
Berks,Supermarkets and Other Grocery (except Convenience) Stores,Growing Industries,Berks,Supermarkets and Other Grocery (except Convenience) Stores,4,16,12
Berks,Surgical and Medical Instrument Manufacturing,Growing Industries,Berks,Surgical and Medical Instrument Manufacturing,19,13,-6
Berks,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Growing Industries,Berks,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",118,158,40
Berks,Used Merchandise Stores,Growing Industries,Berks,Used Merchandise Stores,13,14,1
Berks,Warehouse Clubs and Supercenters,Growing Industries,Berks,Warehouse Clubs and Supercenters,20,37,17
Berks,Wood Kitchen Cabinet and Countertop Manufacturing,Growing Industries,Berks,Wood Kitchen Cabinet and Countertop Manufacturing,6,11,5
Bucks,All Other General Merchandise Stores,Growing Industries,Bucks,All Other General Merchandise Stores,38,34,-4
Bucks,Assisted Living Facilities for the Elderly,Growing Industries,Bucks,Assisted Living Facilities for the Elderly,31,26,-5
Bucks,Automobile Manufacturing,Growing Industries,Bucks,Automobile Manufacturing,5,13,8
Bucks,Automotive Parts and Accessories Stores,Growing Industries,Bucks,Automotive Parts and Accessories Stores,90,51,-39
Bucks,Books Printing,Growing Industries,Bucks,Books Printing,24,17,-7
Bucks,Business Associations,Growing Industries,Bucks,Business Associations,8,14,6
Bucks,Cable and Other Subscription Programming,Growing Industries,Bucks,Cable and Other Subscription Programming,21,28,7
Bucks,Child Day Care Services,Growing Industries,Bucks,Child Day Care Services,53,51,-2
Bucks,"Colleges, Universities, and Professional Schools",Growing Industries,Bucks,"Colleges, Universities, and Professional Schools",28,96,68
Bucks,Commercial Banking,Growing Industries,Bucks,Commercial Banking,123,66,-57
Bucks,Concrete Block and Brick Manufacturing,Growing Industries,Bucks,Concrete Block and Brick Manufacturing,24,31,7
Bucks,Continuing Care Retirement Communities,Growing Industries,Bucks,Continuing Care Retirement Communities,31,17,-14
Bucks,"Cosmetics, Beauty Supplies, and Perfume Stores",Growing Industries,Bucks,"Cosmetics, Beauty Supplies, and Perfume Stores",18,13,-5
Bucks,Couriers and Express Delivery Services,Growing Industries,Bucks,Couriers and Express Delivery Services,22,29,7
Bucks,Department Stores (except Discount Department Stores),Growing Industries,Bucks,Department Stores (except Discount Department Stores),18,14,-4
Bucks,Direct Health and Medical Insurance Carriers,Growing Industries,Bucks,Direct Health and Medical Insurance Carriers,197,13,-184
Bucks,Direct Life Insurance Carriers,Growing Industries,Bucks,Direct Life Insurance Carriers,18,40,22
Bucks,Discount Department Stores,Growing Industries,Bucks,Discount Department Stores,20,15,-5
Bucks,Electronic Shopping,Growing Industries,Bucks,Electronic Shopping,22,80,58
