WDA,Occupation Title,Measure,Workforce Development Area,Title1,January 2020,January 2021,Volume Chg
Berks,Electrical Engineers,Growing Occupations,Berks,Electrical Engineers,15,10,-5
Berks,"First-Line Supervisors of Mechanics, Installers, and Repairers",Growing Occupations,Berks,"First-Line Supervisors of Mechanics, Installers, and Repairers",18,13,-5
Berks,Medical and Health Services Managers,Growing Occupations,Berks,Medical and Health Services Managers,74,69,-5
Berks,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Growing Occupations,Berks,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",75,70,-5
Berks,Financial Analysts,Growing Occupations,Berks,Financial Analysts,16,12,-4
Berks,"Software Developers, Applications",Growing Occupations,Berks,"Software Developers, Applications",24,20,-4
Berks,Helpers--Production Workers,Growing Occupations,Berks,Helpers--Production Workers,16,13,-3
Berks,Physical Therapists,Growing Occupations,Berks,Physical Therapists,21,18,-3
Berks,Licensed Practical and Licensed Vocational Nurses,Growing Occupations,Berks,Licensed Practical and Licensed Vocational Nurses,70,67,-3
Berks,Human Resources Managers,Growing Occupations,Berks,Human Resources Managers,12,10,-2
Berks,"Sales Agents, Financial Services",Growing Occupations,Berks,"Sales Agents, Financial Services",12,10,-2
Berks,Computer Systems Analysts,Growing Occupations,Berks,Computer Systems Analysts,16,15,-1
Berks,"Education Administrators, Postsecondary",Growing Occupations,Berks,"Education Administrators, Postsecondary",12,12,0
Berks,"Educational, Guidance, School, and Vocational Counselors",Growing Occupations,Berks,"Educational, Guidance, School, and Vocational Counselors",12,12,0
Berks,First-Line Supervisors of Production and Operating Workers,Growing Occupations,Berks,First-Line Supervisors of Production and Operating Workers,21,21,0
Berks,"Sales Representatives, Services, All Other",Growing Occupations,Berks,"Sales Representatives, Services, All Other",9,10,1
Berks,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Growing Occupations,Berks,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",15,16,1
Berks,Tellers,Growing Occupations,Berks,Tellers,16,18,2
Berks,Nurse Practitioners,Growing Occupations,Berks,Nurse Practitioners,17,19,2
Berks,Automotive Specialty Technicians,Growing Occupations,Berks,Automotive Specialty Technicians,18,20,2
Berks,Medical Assistants,Growing Occupations,Berks,Medical Assistants,44,46,2
Berks,Mental Health Counselors,Growing Occupations,Berks,Mental Health Counselors,7,10,3
Berks,"Financial Managers, Branch or Department",Growing Occupations,Berks,"Financial Managers, Branch or Department",14,17,3
Berks,Teacher Assistants,Growing Occupations,Berks,Teacher Assistants,14,17,3
Berks,Computer User Support Specialists,Growing Occupations,Berks,Computer User Support Specialists,20,23,3
Berks,Storage and Distribution Managers,Growing Occupations,Berks,Storage and Distribution Managers,7,11,4
Berks,Marketing Managers,Growing Occupations,Berks,Marketing Managers,17,21,4
Berks,Cashiers,Growing Occupations,Berks,Cashiers,27,31,4
Berks,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Growing Occupations,Berks,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",29,33,4
Berks,Health Educators,Growing Occupations,Berks,Health Educators,5,10,5
Berks,"Inspectors, Testers, Sorters, Samplers, and Weighers",Growing Occupations,Berks,"Inspectors, Testers, Sorters, Samplers, and Weighers",7,12,5
Berks,"Order Fillers, Wholesale and Retail Sales",Growing Occupations,Berks,"Order Fillers, Wholesale and Retail Sales",10,15,5
Berks,"Bookkeeping, Accounting, and Auditing Clerks",Growing Occupations,Berks,"Bookkeeping, Accounting, and Auditing Clerks",16,21,5
Berks,"Cooks, Restaurant",Growing Occupations,Berks,"Cooks, Restaurant",26,31,5
Berks,"Managers, All Other",Growing Occupations,Berks,"Managers, All Other",58,63,5
Berks,Respiratory Therapists,Growing Occupations,Berks,Respiratory Therapists,4,10,6
Berks,"Cooks, Short Order",Growing Occupations,Berks,"Cooks, Short Order",5,11,6
Berks,Bus and Truck Mechanics and Diesel Engine Specialists,Growing Occupations,Berks,Bus and Truck Mechanics and Diesel Engine Specialists,7,13,6
Berks,Regulatory Affairs Specialists,Growing Occupations,Berks,Regulatory Affairs Specialists,3,10,7
Berks,Retail Loss Prevention Specialists,Growing Occupations,Berks,Retail Loss Prevention Specialists,4,11,7
Berks,Dishwashers,Growing Occupations,Berks,Dishwashers,4,11,7
Berks,Bakers,Growing Occupations,Berks,Bakers,4,11,7
Berks,"Postsecondary Teachers, All Other",Growing Occupations,Berks,"Postsecondary Teachers, All Other",5,12,7
Berks,"Social Workers, All Other",Growing Occupations,Berks,"Social Workers, All Other",6,13,7
Berks,Market Research Analysts and Marketing Specialists,Growing Occupations,Berks,Market Research Analysts and Marketing Specialists,7,14,7
Berks,Receptionists and Information Clerks,Growing Occupations,Berks,Receptionists and Information Clerks,7,14,7
Berks,Industrial Machinery Mechanics,Growing Occupations,Berks,Industrial Machinery Mechanics,8,15,7
Berks,Veterinarians,Growing Occupations,Berks,Veterinarians,9,16,7
Berks,Sales Managers,Growing Occupations,Berks,Sales Managers,14,21,7
Berks,Medical Records and Health Information Technicians,Growing Occupations,Berks,Medical Records and Health Information Technicians,15,22,7
Berks,Social and Human Service Assistants,Growing Occupations,Berks,Social and Human Service Assistants,5,13,8
Berks,Coaches and Scouts,Growing Occupations,Berks,Coaches and Scouts,5,13,8
Berks,"Medical Scientists, Except Epidemiologists",Growing Occupations,Berks,"Medical Scientists, Except Epidemiologists",6,14,8
Berks,First-Line Supervisors of Food Preparation and Serving Workers,Growing Occupations,Berks,First-Line Supervisors of Food Preparation and Serving Workers,14,22,8
Berks,General and Operations Managers,Growing Occupations,Berks,General and Operations Managers,30,38,8
Berks,Computer Systems Engineers/Architects,Growing Occupations,Berks,Computer Systems Engineers/Architects,4,13,9
Berks,Driver/Sales Workers,Growing Occupations,Berks,Driver/Sales Workers,16,25,9
Berks,Occupational Therapy Assistants,Growing Occupations,Berks,Occupational Therapy Assistants,1,11,10
Berks,First-Line Supervisors of Housekeeping and Janitorial Workers,Growing Occupations,Berks,First-Line Supervisors of Housekeeping and Janitorial Workers,1,11,10
Berks,Occupational Therapists,Growing Occupations,Berks,Occupational Therapists,4,14,10
Berks,Light Truck or Delivery Services Drivers,Growing Occupations,Berks,Light Truck or Delivery Services Drivers,7,17,10
Berks,Medical and Clinical Laboratory Technicians,Growing Occupations,Berks,Medical and Clinical Laboratory Technicians,15,25,10
Berks,Pharmacy Technicians,Growing Occupations,Berks,Pharmacy Technicians,23,33,10
Berks,"Preschool Teachers, Except Special Education",Growing Occupations,Berks,"Preschool Teachers, Except Special Education",7,18,11
Berks,"Packers and Packagers, Hand",Growing Occupations,Berks,"Packers and Packagers, Hand",7,18,11
Berks,Maids and Housekeeping Cleaners,Growing Occupations,Berks,Maids and Housekeeping Cleaners,14,25,11
Berks,Psychiatric Technicians,Growing Occupations,Berks,Psychiatric Technicians,2,14,12
Berks,Construction Laborers,Growing Occupations,Berks,Construction Laborers,5,17,12
Berks,"Office Clerks, General",Growing Occupations,Berks,"Office Clerks, General",9,21,12
