WDA,Employer,Measure,Workforce Development Area,Title1,Jan-20,Jan-21,Volume Chg
Berks,Tower Health,Top Employers,Berks,Tower Health,422,191,-231
Berks,Stv Group Incorporated,Top Employers,Berks,Stv Group Incorporated,41,19,-22
Berks,Aramark,Top Employers,Berks,Aramark,36,23,-13
Berks,Morgan Corporation,Top Employers,Berks,Morgan Corporation,32,20,-12
Berks,"Lowe's Companies, Inc",Top Employers,Berks,"Lowe's Companies, Inc",58,50,-8
Berks,Supportive Concepts For Families,Top Employers,Berks,Supportive Concepts For Families,25,18,-7
Berks,Alcon Incorporated,Top Employers,Berks,Alcon Incorporated,15,10,-5
Berks,Elior North America,Top Employers,Berks,Elior North America,15,10,-5
Berks,Compass Group North America,Top Employers,Berks,Compass Group North America,15,11,-4
Berks,Sodexo,Top Employers,Berks,Sodexo,15,11,-4
Berks,Kindercare,Top Employers,Berks,Kindercare,18,14,-4
Berks,Es3 Llc,Top Employers,Berks,Es3 Llc,14,11,-3
Berks,Walmart / Sam's,Top Employers,Berks,Walmart / Sam's,18,16,-2
Berks,Goodwill,Top Employers,Berks,Goodwill,11,10,-1
Berks,Niagara Bottling Llc,Top Employers,Berks,Niagara Bottling Llc,11,10,-1
Berks,The Home Depot Incorporated,Top Employers,Berks,The Home Depot Incorporated,12,11,-1
Berks,Phoebe Ministries,Top Employers,Berks,Phoebe Ministries,27,26,-1
Berks,McDonald's,Top Employers,Berks,McDonald's,18,19,1
Berks,C&S Wholesale Grocers,Top Employers,Berks,C&S Wholesale Grocers,8,10,2
Berks,"Geodis Logistics, Llc Breinigsville",Top Employers,Berks,"Geodis Logistics, Llc Breinigsville",8,10,2
Berks,Anderson Pest Solutions,Top Employers,Berks,Anderson Pest Solutions,11,13,2
Berks,Cabelas,Top Employers,Berks,Cabelas,15,17,2
Berks,Dollar Tree,Top Employers,Berks,Dollar Tree,8,11,3
Berks,HCR ManorCare,Top Employers,Berks,HCR ManorCare,22,25,3
Berks,Rentokil Initial Pty Ltd,Top Employers,Berks,Rentokil Initial Pty Ltd,11,15,4
Berks,Ryder System Incorporated,Top Employers,Berks,Ryder System Incorporated,37,41,4
Berks,Advantage Sales & Marketing,Top Employers,Berks,Advantage Sales & Marketing,5,10,5
Berks,Coca-Cola Enterprises Inc.,Top Employers,Berks,Coca-Cola Enterprises Inc.,6,11,5
Berks,Masco Corporation,Top Employers,Berks,Masco Corporation,6,11,5
Berks,"Haven Behavioral Healthcare, Inc",Top Employers,Berks,"Haven Behavioral Healthcare, Inc",7,12,5
Berks,Pitney Bowes,Top Employers,Berks,Pitney Bowes,9,14,5
Berks,Santander,Top Employers,Berks,Santander,20,25,5
Berks,EnerSys,Top Employers,Berks,EnerSys,21,26,5
Berks,Allied Universal,Top Employers,Berks,Allied Universal,19,25,6
Berks,Albright College,Top Employers,Berks,Albright College,3,10,7
Berks,Csl Plasma,Top Employers,Berks,Csl Plasma,3,10,7
Berks,Diakon Lutheran Social Ministries,Top Employers,Berks,Diakon Lutheran Social Ministries,12,19,7
Berks,Shimadzu Scientific Instruments,Top Employers,Berks,Shimadzu Scientific Instruments,13,20,7
Berks,Bayada Home Health Care,Top Employers,Berks,Bayada Home Health Care,24,31,7
Berks,Texas Roadhouse Incorporated,Top Employers,Berks,Texas Roadhouse Incorporated,2,10,8
Berks,Drexel University,Top Employers,Berks,Drexel University,3,11,8
Berks,Express Incorporated,Top Employers,Berks,Express Incorporated,3,11,8
Berks,Pensacola Bay Center,Top Employers,Berks,Pensacola Bay Center,1,10,9
Berks,Smg,Top Employers,Berks,Smg,1,10,9
Berks,St. Luke's University Health Network,Top Employers,Berks,St. Luke's University Health Network,1,10,9
Berks,Estes Express Lines,Top Employers,Berks,Estes Express Lines,3,12,9
Berks,Rentokil Initial Plc,Top Employers,Berks,Rentokil Initial Plc,7,16,9
Berks,Aveanna,Top Employers,Berks,Aveanna,11,20,9
Berks,Highlands At Wyomissing,Top Employers,Berks,Highlands At Wyomissing,0,10,10
Berks,Kutztown University Of Pennsylvania,Top Employers,Berks,Kutztown University Of Pennsylvania,1,11,10
Berks,CDM Smith,Top Employers,Berks,CDM Smith,6,16,10
Berks,Maine Drilling Blasting,Top Employers,Berks,Maine Drilling Blasting,0,11,11
Berks,Wawa Incorporated,Top Employers,Berks,Wawa Incorporated,0,11,11
Berks,Precision Castparts,Top Employers,Berks,Precision Castparts,4,15,11
Berks,Pregis Llc,Top Employers,Berks,Pregis Llc,0,12,12
Berks,Delta Medical Hospital,Top Employers,Berks,Delta Medical Hospital,13,25,12
Berks,UGI,Top Employers,Berks,UGI,5,18,13
Berks,Boscov's,Top Employers,Berks,Boscov's,15,28,13
Berks,Sos Corporation,Top Employers,Berks,Sos Corporation,0,14,14
Berks,Corvias Group,Top Employers,Berks,Corvias Group,13,27,14
Berks,Acadia Healthcare,Top Employers,Berks,Acadia Healthcare,17,31,14
Berks,Apis Management Services,Top Employers,Berks,Apis Management Services,0,15,15
Berks,Mast Roofing & Construction,Top Employers,Berks,Mast Roofing & Construction,1,16,15
Berks,Genesis Healthcare Corporation,Top Employers,Berks,Genesis Healthcare Corporation,34,49,15
Berks,Petco,Top Employers,Berks,Petco,2,19,17
Berks,Harbor Oaks Hospital,Top Employers,Berks,Harbor Oaks Hospital,10,28,18
Berks,Pennsylvania State University,Top Employers,Berks,Pennsylvania State University,122,140,18
Berks,Advancing Technology,Top Employers,Berks,Advancing Technology,0,19,19
Berks,"BJ's Wholesale Club, Inc.",Top Employers,Berks,"BJ's Wholesale Club, Inc.",2,21,19
Berks,Comforting Home Care,Top Employers,Berks,Comforting Home Care,1,21,20
Berks,Advance Auto Parts Incorporated,Top Employers,Berks,Advance Auto Parts Incorporated,11,32,21
